None	Hvert er póstnúmerið í Hafnarfirði	220	Hvert er póstnúmerið í Hafnarfirði
None	Á hvaða eyju eru rústir borgarinnar Knossoss	Krít	Á hvaða eyju eru rústir borgarinnar Knossoss
None	Á hvaða mánaðardegi (dagur. mánuð) er aðfangadagur jóla	24. desember	Á hvaða mánaðardegi dagur mánuð er aðfangadagur jóla
None	Á hvaða vikudegi er Öskudagur	Miðvikudegi	Á hvaða vikudegi er Öskudagur
None	Á landamærum hvaða landa eru Niagrafossarnir	Bandaríkjanna og Kanada	Á landamærum hvaða landa eru Niagrafossarnir
None	Eftir hvaða rithöfund er bókin 101 Reykjavík	Hallgrím Helgason	Eftir hvaða rithöfund er bókin hundrað og ein Reykjavík
None	Eftir hvern er kvæðið Ég bið að heilsa	Jónas Hallgrímsson	Eftir hvern er kvæðið Ég bið að heilsa
None	Eftir hvern er leikritið Draumur á Jónsmessunótt	William Shakespeare	Eftir hvern er leikritið Draumur á Jónsmessunótt
None	Er Barack Obama örvhentur	Já	Er Barack Obama örvhentur
None	Er Króatía í ESB (2009)	Nei	Er Króatía í E S B tvö þúsund og níu 
None	Foreldrar hvaða ofurhetju eru herra og frú Kent	Superman	Foreldrar hvaða ofurhetju eru herra og frú Kent
None	Frá hvaða bæ var ævintýrahöfundurinn H.C. Andersen	Óðinsvéum	Frá hvaða bæ var ævintýrahöfundurinn H C Andersen
None	Frá hvaða borg kemur dansinn sem er kallaður vals	Vín	Frá hvaða borg kemur dansinn sem er kallaður vals
None	Fullt hús matar en engar dyr á. Hvað er hér á ferðinni	Egg	Fullt hús matar en engar dyr á 
None	Fyrir hvaða flokk sat Guðmundur J. Guðmundsson á Alþingi	Alþýðubandalagið	Fyrir hvaða flokk sat Guðmundur J Guðmundsson á Alþingi
None	Fyrir hvaða íslenska stjórnmálaflokk stendur bókstafurinn B	Framsóknarflokkinn	Fyrir hvaða íslenska stjórnmálaflokk stendur bókstafurinn B
None	Fyrir hvaða söguflokk er J.R.R. Tolkien rithöfundur frægastur	Hringadróttinssögu	Fyrir hvaða söguflokk er J punktur R punktur R punktur Tolkien rithöfundur frægastur
